lat,lon,addr,sqft,assessed,market,subsidy,change,county
37.3661,-118.40096,"630 Keough St, Bishop",6250,211775,605747,4649,2832,Inyo
37.3661,-118.40079,"624 Keough St, Bishop",6250,411363,605747,2294,476,Inyo
37.3661,-118.40044,"612 Keough St, Bishop",6250,102074,605747,5943,4126,Inyo
37.3661,-118.40027,"602 Keough St, Bishop",6250,72289,605747,6295,4478,Inyo
37.36572,-118.40027,"605 W Elm St, Bishop",6250,788009,788009,0,-2364,Inyo
37.36572,-118.40044,"615 W Elm St, Bishop",6250,209447,605747,4676,2859,Inyo
37.36572,-118.4007,"625 W Elm St, Bishop",12500,146320,605747,5421,3604,Inyo
37.16753,-118.29439,"191 N School St, Big Pine",9405,251160,431538,2128,834,Inyo
37.36572,-118.40098,"631 W Elm St, Bishop",7812,199156,605747,4798,2981,Inyo
37.16706,-118.29438,"161 N School St, Big Pine",22275,168999,431538,3098,1803,Inyo
37.16653,-118.29477,"435 W Crocker Ave, Big Pine",18633,98789,431538,3926,2632,Inyo
37.36572,-118.40165,"675 W Elm St, Bishop",6250,585000,605747,245,-1572,Inyo
37.36572,-118.40208,"693 W Elm St, Bishop",12500,509794,605747,1132,-685,Inyo
37.36381,-118.39217,"263 May St, Bishop",5200,631417,631417,0,-1894,Inyo
37.3661,-118.40131,"650 Keough St, Bishop",6250,295979,605747,3655,1838,Inyo
37.3661,-118.40113,"636 Keough St, Bishop",6250,409499,605747,2316,498,Inyo
37.36409,-118.39217,"262 E Pine St, Bishop",5200,210187,605747,4668,2850,Inyo
37.3661,-118.40217,"692 Keough St, Bishop",6250,459000,605747,1732,-86,Inyo
37.16646,-118.29638,"531 W Crocker Ave, Big Pine",10321,201772,431538,2711,1417,Inyo
37.36471,-118.39046,"337 East Pine St, Bishop",20000,514685,605747,1075,-743,Inyo
37.36521,-118.40213,"692 W Elm St, Bishop",9375,298536,605747,3625,1808,Inyo
37.16646,-118.29655,"541 W Crocker Ave, Big Pine",10321,205660,431538,2665,1371,Inyo
37.36475,-118.38933,"537 N Second St, Bishop",8000,436968,605747,1992,174,Inyo
37.36493,-118.38933,"557 N Second St, Bishop",5000,147320,605747,5409,3592,Inyo
37.36521,-118.40165,"674 W Elm St, Bishop",6250,208011,605747,4693,2876,Inyo
37.36455,-118.38933,"387 E Pine St, Bishop",7000,161041,605747,5248,3430,Inyo
37.36521,-118.40148,"662 W Elm St, Bishop",6250,258939,605747,4092,2275,Inyo
37.36521,-118.4013,"650 W Elm St, Bishop",6562,483570,605747,1442,-376,Inyo
37.36521,-118.40108,"636 W Elm St, Bishop",9062,304298,605747,3557,1740,Inyo
37.36521,-118.40085,"630 W Elm St, Bishop",7812,210075,605747,4669,2852,Inyo
37.16663,-118.29437,"159 N School St, Big Pine",9540,267569,431538,1935,640,Inyo
37.36485,-118.40046,"617 Grove St, Bishop",6600,256377,605747,4123,2305,Inyo
37.36485,-118.40104,"637 Grove St, Bishop",11000,137876,605747,5521,3704,Inyo
37.36484,-118.40139,"651 Grove St, Bishop",11000,514153,605747,1081,-736,Inyo
37.36484,-118.40208,"693 Grove St, Bishop",11000,196346,605747,4831,3014,Inyo
